English,Bangla,Banglish
The patient's condition is improving after receiving O+ blood.,আগামীকালকের মিটিং কোথায় হবে? urgent.,"Campus er situation bhalo noy, shobai shabdhane thakish."
The injured man was rushed to the nearest hospital for treatment.,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি। urgent.,Kachakachi kono hospital khola ache emergency te?
The injured man was rushed to the nearest hospital for treatment.,আমাদের আগামীকাল প্রজেক্টের সবকিছু চূড়ান্ত করতে হবে। blood.,"Khela khub uttejona purno chilo, kintu amader dol jitse."
We are planning to visit the park next weekend.,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।","Rogir obostha onek bhalo, O+ rokto pawar por. blood group."
We are planning to visit the park next weekend.,আজকের লেকচারের নোটস কারো কাছে আছে কি?,"Rogir obostha onek bhalo, O+ rokto pawar por."
"The situation of our campus is not good, everyone be alert.","ক্যাম্পাসের পরিস্থিতি ভালো নয়, সবাই সাবধান থাকিস।","Rogir obostha onek bhalo, O+ rokto pawar por."
"The match was so intense, but our team managed to win.",আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে? hospital.,Ajker lecture er notes karo kase ache?
The injured man was rushed to the nearest hospital for treatment.,"ক্যাম্পাসের পরিস্থিতি ভালো নয়, সবাই সাবধান থাকিস।",Agamikaler meeting er location ki hobe?
Can someone confirm the location for tomorrow's meeting? bags.,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি। blood group.,"Khela khub uttejona purno chilo, kintu amader dol jitse."
I'm looking forward to the summer break this year.,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।",Amader kalke project er shobkichu final korte hobe.
I'm looking forward to the summer break this year.,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে?,"Campus er situation bhalo noy, shobai shabdhane thakish."
I'm looking forward to the summer break this year.,আজকের লেকচারের নোটস কারো কাছে আছে কি?,Agamikaler meeting er location ki hobe?
Does anyone have the notes from today's lecture?,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,Agamikaler meeting er location ki hobe?
Can someone confirm the location for tomorrow's meeting?,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।",Amader kalke project er shobkichu final korte hobe.
Can someone confirm the location for tomorrow's meeting?,"ক্যাম্পাসের পরিস্থিতি ভালো নয়, সবাই সাবধান থাকিস।","Campus er situation bhalo noy, shobai shabdhane thakish. blood group."
We are planning to visit the park next weekend. B+.,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে? blood.,Kachakachi kono hospital khola ache emergency te? location.
Can someone confirm the location for tomorrow's meeting?,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে? emergency.,Ahoto lok hospital e niye jawa hoyeche taratari.
I'm looking forward to the summer break this year.,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।",Kachakachi kono hospital khola ache emergency te? location.
"The situation of our campus is not good, everyone be alert. A+.",আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,Ajker lecture er notes karo kase ache?
The injured man was rushed to the nearest hospital for treatment.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,Amader kalke project er shobkichu final korte hobe.
The patient's condition is improving after receiving O+ blood.,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,"Khela khub uttejona purno chilo, kintu amader dol jitse."
"The match was so intense, but our team managed to win. A+.",আজকের লেকচারের নোটস কারো কাছে আছে কি?,Agamikaler meeting er location ki hobe?
