English,Bangla,Banglish
We are planning to visit the park next weekend. patients.,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে?,Amader kalke project er shobkichu final korte hobe.
Does anyone have the notes from today's lecture?,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে? blood.,Kachakachi kono hospital khola ache emergency te?
Does anyone have the notes from today's lecture?,আমাদের আগামীকাল প্রজেক্টের সবকিছু চূড়ান্ত করতে হবে।,Ei bochor grissho er chhuti r jonno onek excited achi.
"The situation of our campus is not good, everyone be alert.",আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে?,"Campus er situation bhalo noy, shobai shabdhane thakish. A+."
"The situation of our campus is not good, everyone be alert.",আমাদের আগামীকাল প্রজেক্টের সবকিছু চূড়ান্ত করতে হবে।,"Campus er situation bhalo noy, shobai shabdhane thakish. blood group."
Does anyone have the notes from today's lecture?,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।",Agamikaler meeting er location ki hobe? hospital.
We are planning to visit the park next weekend.,আজকের লেকচারের নোটস কারো কাছে আছে কি?,Ahoto lok hospital e niye jawa hoyeche taratari.
Does anyone have the notes from today's lecture?,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,Ahoto lok hospital e niye jawa hoyeche taratari.
Is the hospital nearby open during emergencies? A+.,আগামীকালকের মিটিং কোথায় হবে? injured.,"Rogir obostha onek bhalo, O+ rokto pawar por."
We are planning to visit the park next weekend. bags.,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।",Ahoto lok hospital e niye jawa hoyeche taratari.
The patient's condition is improving after receiving O+ blood.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,Ajker lecture er notes karo kase ache?
Can someone confirm the location for tomorrow's meeting?,আমাদের আগামীকাল প্রজেক্টের সবকিছু চূড়ান্ত করতে হবে।,Amader kalke project er shobkichu final korte hobe. patients.
Can someone confirm the location for tomorrow's meeting?,"খেলা খুবই উত্তেজনাপূর্ণ ছিল, কিন্তু আমাদের দল জিতেছে।","Campus er situation bhalo noy, shobai shabdhane thakish."
Can someone confirm the location for tomorrow's meeting?,আমাদের আগামীকাল প্রজেক্টের সবকিছু চূড়ান্ত করতে হবে।,Amra porer shoptaho parke jawar porikolpona korchi.
The patient's condition is improving after receiving O+ blood.,আমাদের আগামীকাল প্রজেক্টের সবকিছু চূড়ান্ত করতে হবে। bags.,Ahoto lok hospital e niye jawa hoyeche taratari. B+.
We need to finalize the project details by tomorrow.,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে? hospital.,Amra porer shoptaho parke jawar porikolpona korchi.
"The match was so intense, but our team managed to win. patients.","খেলা খুবই উত্তেজনাপূর্ণ ছিল, কিন্তু আমাদের দল জিতেছে। blood group.",Amader kalke project er shobkichu final korte hobe.
"The match was so intense, but our team managed to win. location.",আগামীকালকের মিটিং কোথায় হবে?,Ahoto lok hospital e niye jawa hoyeche taratari.
Does anyone have the notes from today's lecture?,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি। A+.,"Khela khub uttejona purno chilo, kintu amader dol jitse. B+."
Does anyone have the notes from today's lecture?,আজকের লেকচারের নোটস কারো কাছে আছে কি?,Kachakachi kono hospital khola ache emergency te?
The patient's condition is improving after receiving O+ blood.,আগামীকালকের মিটিং কোথায় হবে?,Agamikaler meeting er location ki hobe?
We need to finalize the project details by tomorrow.,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে?,Ei bochor grissho er chhuti r jonno onek excited achi.
I'm looking forward to the summer break this year. blood group.,"ক্যাম্পাসের পরিস্থিতি ভালো নয়, সবাই সাবধান থাকিস। blood.","Campus er situation bhalo noy, shobai shabdhane thakish."
"The match was so intense, but our team managed to win. bags.","খেলা খুবই উত্তেজনাপূর্ণ ছিল, কিন্তু আমাদের দল জিতেছে।",Ei bochor grissho er chhuti r jonno onek excited achi.
We need to finalize the project details by tomorrow.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি। blood group.,"Rogir obostha onek bhalo, O+ rokto pawar por."
"The match was so intense, but our team managed to win.","খেলা খুবই উত্তেজনাপূর্ণ ছিল, কিন্তু আমাদের দল জিতেছে।","Campus er situation bhalo noy, shobai shabdhane thakish."
Does anyone have the notes from today's lecture?,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে?,Ahoto lok hospital e niye jawa hoyeche taratari. emergency.
Is the hospital nearby open during emergencies?,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি। blood group.,"Khela khub uttejona purno chilo, kintu amader dol jitse. location."
I'm looking forward to the summer break this year. O+.,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।",Amader kalke project er shobkichu final korte hobe.
The injured man was rushed to the nearest hospital for treatment. patients.,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,Agamikaler meeting er location ki hobe? bags.
Does anyone have the notes from today's lecture?,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর। A+.","Khela khub uttejona purno chilo, kintu amader dol jitse. patients."
"The situation of our campus is not good, everyone be alert.",আহত লোকটি তাড়াতাড়ি হাসপাতালে নিয়ে যাওয়া হয়েছে। bags.,Agamikaler meeting er location ki hobe?
I'm looking forward to the summer break this year.,এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,Ajker lecture er notes karo kase ache? bags.
Can someone confirm the location for tomorrow's meeting?,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।",Ahoto lok hospital e niye jawa hoyeche taratari. injured.
"The situation of our campus is not good, everyone be alert.",আমাদের আগামীকাল প্রজেক্টের সবকিছু চূড়ান্ত করতে হবে।,Agamikaler meeting er location ki hobe?
The patient's condition is improving after receiving O+ blood. blood group.,আজকের লেকচারের নোটস কারো কাছে আছে কি?,Agamikaler meeting er location ki hobe? emergency.
I'm looking forward to the summer break this year.,আগামীকালকের মিটিং কোথায় হবে?,Ahoto lok hospital e niye jawa hoyeche taratari.
Does anyone have the notes from today's lecture?,"ক্যাম্পাসের পরিস্থিতি ভালো নয়, সবাই সাবধান থাকিস। urgent.",Ei bochor grissho er chhuti r jonno onek excited achi.
The patient's condition is improving after receiving O+ blood. B+.,"খেলা খুবই উত্তেজনাপূর্ণ ছিল, কিন্তু আমাদের দল জিতেছে।",Amra porer shoptaho parke jawar porikolpona korchi.
We need to finalize the project details by tomorrow. A+.,আজকের লেকচারের নোটস কারো কাছে আছে কি? emergency.,"Rogir obostha onek bhalo, O+ rokto pawar por."
The injured man was rushed to the nearest hospital for treatment.,"খেলা খুবই উত্তেজনাপূর্ণ ছিল, কিন্তু আমাদের দল জিতেছে।",Amra porer shoptaho parke jawar porikolpona korchi. bags.
Can someone confirm the location for tomorrow's meeting? O+.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,"Campus er situation bhalo noy, shobai shabdhane thakish."
The patient's condition is improving after receiving O+ blood.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,Ahoto lok hospital e niye jawa hoyeche taratari.
Does anyone have the notes from today's lecture?,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।","Campus er situation bhalo noy, shobai shabdhane thakish."
"The situation of our campus is not good, everyone be alert.",আমাদের আগামীকাল প্রজেক্টের সবকিছু চূড়ান্ত করতে হবে। location.,Amader kalke project er shobkichu final korte hobe.
Does anyone have the notes from today's lecture?,আহত লোকটি তাড়াতাড়ি হাসপাতালে নিয়ে যাওয়া হয়েছে।,"Rogir obostha onek bhalo, O+ rokto pawar por."
We need to finalize the project details by tomorrow. patients.,আগামীকালকের মিটিং কোথায় হবে?,Ajker lecture er notes karo kase ache? O+.
The patient's condition is improving after receiving O+ blood. urgent.,আমাদের আগামীকাল প্রজেক্টের সবকিছু চূড়ান্ত করতে হবে। A+.,"Campus er situation bhalo noy, shobai shabdhane thakish."
Can someone confirm the location for tomorrow's meeting? A+.,"খেলা খুবই উত্তেজনাপূর্ণ ছিল, কিন্তু আমাদের দল জিতেছে। location.","Rogir obostha onek bhalo, O+ rokto pawar por."
"The match was so intense, but our team managed to win.",আগামীকালকের মিটিং কোথায় হবে?,Ajker lecture er notes karo kase ache? injured.
"The situation of our campus is not good, everyone be alert.",আজকের লেকচারের নোটস কারো কাছে আছে কি?,Ajker lecture er notes karo kase ache? injured.
Does anyone have the notes from today's lecture?,আমাদের আগামীকাল প্রজেক্টের সবকিছু চূড়ান্ত করতে হবে।,"Khela khub uttejona purno chilo, kintu amader dol jitse. A+."
We need to finalize the project details by tomorrow. blood.,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে?,Agamikaler meeting er location ki hobe? hospital.
The injured man was rushed to the nearest hospital for treatment.,আহত লোকটি তাড়াতাড়ি হাসপাতালে নিয়ে যাওয়া হয়েছে।,Kachakachi kono hospital khola ache emergency te? injured.
We are planning to visit the park next weekend.,আপাতত কাছাকাছি কোনো হাসপাতাল খোলা আছে?,Ei bochor grissho er chhuti r jonno onek excited achi.
Does anyone have the notes from today's lecture? location.,আজকের লেকচারের নোটস কারো কাছে আছে কি?,Amader kalke project er shobkichu final korte hobe.
The injured man was rushed to the nearest hospital for treatment.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,Agamikaler meeting er location ki hobe? B+.
The patient's condition is improving after receiving O+ blood.,আগামীকালকের মিটিং কোথায় হবে?,Amra porer shoptaho parke jawar porikolpona korchi.
Can someone confirm the location for tomorrow's meeting? blood.,আজকের লেকচারের নোটস কারো কাছে আছে কি? bags.,Ajker lecture er notes karo kase ache?
"The match was so intense, but our team managed to win.",আজকের লেকচারের নোটস কারো কাছে আছে কি?,Agamikaler meeting er location ki hobe?
Is the hospital nearby open during emergencies?,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,Agamikaler meeting er location ki hobe? B+.
The injured man was rushed to the nearest hospital for treatment.,আজকের লেকচারের নোটস কারো কাছে আছে কি?,"Campus er situation bhalo noy, shobai shabdhane thakish."
"The match was so intense, but our team managed to win.",এই বছর গ্রীষ্মের ছুটির জন্য খুব অপেক্ষা করছি।,Agamikaler meeting er location ki hobe? B+.
The injured man was rushed to the nearest hospital for treatment. blood.,"রোগীর অবস্থা এখন ভালো, A+ রক্ত পাওয়ার পর।",Kachakachi kono hospital khola ache emergency te? bags.
We are planning to visit the park next weekend.,আমরা পরের সপ্তাহে পার্কে যাওয়ার পরিকল্পনা করছি।,Ahoto lok hospital e niye jawa hoyeche taratari.
I'm looking forward to the summer break this year. injured.,"ক্যাম্পাসের পরিস্থিতি ভালো নয়, সবাই সাবধান থাকিস।",Ei bochor grissho er chhuti r jonno onek excited achi.
We are planning to visit the park next weekend. B+.,আগামীকালকের মিটিং কোথায় হবে?,"Campus er situation bhalo noy, shobai shabdhane thakish."
"The match was so intense, but our team managed to win.",আমাদের আগামীকাল প্রজেক্টের সবকিছু চূড়ান্ত করতে হবে।,Kachakachi kono hospital khola ache emergency te? emergency.
We are planning to visit the park next weekend.,আমাদের আগামীকাল প্রজেক্টের সবকিছু চূড়ান্ত করতে হবে।,"Rogir obostha onek bhalo, O+ rokto pawar por. urgent."
