Sl. No.,Organization Name,Division Name,District Name,Upazila Name,No. of Bed
39,"Sandwip Upazila Health Complex, Chattogram",Chittagong,Chattogram,Sandwip,31
40,"Satkania Upazila Health Complex, Chattogram",Chittagong,Chattogram,Satkania,31
41,"Pekua Upazila Health Complex, Cox's Bazar",Chittagong,Cox's Bazar,Pekua,31
42,"Ramu Upazila Health Complex, Cox's Bazar",Chittagong,Cox's Bazar,Ramu,31
43,"Teknaf Upazila Health Complex, Cox's Bazar",Chittagong,Cox's Bazar,Teknaf,31
44,"Ukhia Upazila Health Complex, Cox's Bazar",Chittagong,Cox's Bazar,Ukhia,31
45,"Barura Upazila Health Complex, Cumilla",Chittagong,Cumilla,Barura,31
46,"Brahmmanpara Upazila Health Complex, Cumilla",Chittagong,Cumilla,Brahmanpara,31
47,"Burichong Upazila Health Complex, Cumilla",Chittagong,Cumilla,Burichang,31
48,"Chandina Upazila Health Complex, Cumilla",Chittagong,Cumilla,Chandina,31
49,"Comilla Sadar Daxin Upazila Health Complex, Cumilla",Chittagong,Cumilla,Comilla Sadar Dakshin,31
50,"Daudkandi Upazila Health Complex, Cumilla",Chittagong,Cumilla,Daudkandi,31
51,"Laksham Upazila Health Complex, Cumilla",Chittagong,Cumilla,Laksam,31
52,"Monoharganj Upazila Health Complex, Cumilla",Chittagong,Cumilla,Manoharganj,31
53,"Meghna Upazila Health Complex, Cumilla",Chittagong,Cumilla,Meghna,31
54,"Titas Upazila Health Complex, Cumilla",Chittagong,Cumilla,Titas,31
55,"Daganbhuiya Upazila Health Complex, Feni",Chittagong,Feni,Daganbhuiyan,31
56,"Fulgazi Upazila Health Complex, Feni",Chittagong,Feni,Fulgazi,31
57,"Sonagazi Upazila Health Complex, Feni",Chittagong,Feni,Sonagazi,31
58,"Dighinala Upazila Health Complex, Khagrachhari",Chittagong,Khagrachhari,Dighinala,31
Sl. No.,Organization Name,Division Name,District Name,Upazila Name,No. of Bed
59,"Lakshmichari Upazila Health Complex, Khagrachhari",Chittagong,Khagrachhari,Lakshmichhari,31
60,"Mohalchari Upazila Health Complex, Khagrachhari",Chittagong,Khagrachhari,Mahalchhari,31
61,"Manikchari Upazila Health Complex, Khagrachhari",Chittagong,Khagrachhari,Manikchhari,31
62,"Matiranga Upazila Health Complex, Khagrachhari",Chittagong,Khagrachhari,Matiranga,31
63,"Panchari Upazila Health Complex, Khagrachhari",Chittagong,Khagrachhari,Panchhari,31
64,"Ramgarh Upazila Health Complex, Khagrachhari",Chittagong,Khagrachhari,Ramgarh,31
65,"Kamolnagar Upazila Health Complex, Lakshmipur",Chittagong,Lakshmipur,Kamalnagar,31
66,"Ramganj Upazila Health Complex, Lakshmipur",Chittagong,Lakshmipur,Ramganj,31
67,"Ramgati Upazila Health Complex, Lakshmipur",Chittagong,Lakshmipur,Ramgati,31
68,"Kabirhat Upazila Health Complex, Noakhali",Chittagong,Noakhali,Kabirhat,31
69,"Sonaimuri Upazila Health Complex, Noakhali",Chittagong,Noakhali,Sonaimuri,31
70,"Baghaichari Upazila Health Complex, Rangamati",Chittagong,Rangamati,Baghaichhari,31
71,"Barkal Upazila Health Complex, Rangamati",Chittagong,Rangamati,Barkal,31
72,"Belaichari Upazila Health Complex, Rangamati",Chittagong,Rangamati,Belaichhari,31
73,"Juraichari Upazila Health Complex, Rangamati",Chittagong,Rangamati,Juraichhari,31
74,"Kaptai Upazila Health Complex, Rangamati",Chittagong,Rangamati,Kaptai,31
75,"Kawkhali Upazila Health Complex, Rangamati",Chittagong,Rangamati,Kawkhali (betbunia),31
76,"Langadu Upazila Health Complex, Rangamati",Chittagong,Rangamati,Langadu,31
77,"Naniarchar Upazila Health Complex, Rangamati",Chittagong,Rangamati,Naniarchar,31
78,"Rajasthali Upazila Health Complex, Rangamati",Chittagong,Rangamati,Rajasthali,31
79,"Keraniganj Upazila Health Complex, Dhaka",Dhaka,Dhaka,Keraniganj,31
80,"Alfadanga Upazila Health Complex, Faridpur",Dhaka,Faridpur,Alfadanga,31
81,"Charbhadrason Upazila Health Complex, Faridpur",Dhaka,Faridpur,Charbhadrasan,31
82,"Modhukhali Upazila Health Complex, Faridpur",Dhaka,Faridpur,Madhukhali,31
83,"Sadarpur Upazila Health Complex, Faridpur",Dhaka,Faridpur,Sadarpur,31
84,"Saltha Upazila Health Complex, Faridpur",Dhaka,Faridpur,Saltha,50
85,"Kaliakair Upazila Health Complex, Gazipur",Dhaka,Gazipur,Kaliakair,31
86,"Sreepur Upazila Health Complex, Gazipur",Dhaka,Gazipur,Sreepur,31
87,"Kotwalipara Upazila Health Complex, Gopalganj",Dhaka,Gopalganj,Kotalipara,31
88,"Mukshedpur Upazila Health Complex, Gopalganj",Dhaka,Gopalganj,Muksudpur,31
89,"Tungipara Upazila Health Complex, Gopalganj",Dhaka,Gopalganj,Tungipara,31
90,"Austagram Upazila Health Complex, Kishorgonj",Dhaka,Kishorgonj,Austagram,31
91,"Bajitpur Upazila Health Complex, Kishorgonj",Dhaka,Kishorgonj,Bajitpur,31
92,"Hossainpur Upazila Health Complex, Kishorgonj",Dhaka,Kishorgonj,Hossainpur,31
93,"Itna Upazila Health Complex, Kishorgonj",Dhaka,Kishorgonj,Itna,31
94,"Katiadi Upazila Health Complex, Kishorgonj",Dhaka,Kishorgonj,Katiadi,31
95,"Kuliarchar Upazila Health Complex, Kishorgonj",Dhaka,Kishorgonj,Kuliarchar,31
96,"Mithamoin Upazila Health Complex, Kishorgonj",Dhaka,Kishorgonj,Mithamain,31
97,"Nikli Upazila Health Complex, Kishorgonj",Dhaka,Kishorgonj,Nikli,31
98,"Pakundia Upazila Health Complex, Kishorgonj",Dhaka,Kishorgonj,Pakundia,31
99,"Kalkini Upazila Health Complex, Madaripur",Dhaka,Madaripur,Kalkini,31
100,"Rajoir Upazila Health Complex, Madaripur",Dhaka,Madaripur,Rajoir,31
101,"Daulatpur Upazila Health Complex, Manikganj",Dhaka,Manikganj,Daulatpur,31
102,"Ghior Upazila Health Complex, Manikganj",Dhaka,Manikganj,Ghior,31
103,"Harirampur Upazila Health Complex, Manikganj",Dhaka,Manikganj,Harirampur,31
104,"Saturia Upazila Health Complex, Manikganj",Dhaka,Manikganj,Saturia,31
105,"Shibalaya Upazila Health Complex, Manikganj",Dhaka,Manikganj,Shibalaya,31
106,"Singair Upazila Health Complex, Manikganj",Dhaka,Manikganj,Singair,31
107,"Araihazar Upazila Health Complex, Narayanganj",Dhaka,Narayanganj,Araihazar,31
108,"Bandar Upazila Health Complex, Narayanganj",Dhaka,Narayanganj,Bandar,31
109,"Rupganj Upazila Health Complex, Narayanganj",Dhaka,Narayanganj,Rupganj,31
110,"Sonargaon Upazila Health Complex, Narayanganj",Dhaka,Narayanganj,Sonargaon,31
111,"Belabo Upazila Health Complex, Narsingdi",Dhaka,Narsingdi,Belabo,31
112,"Palash Upazila Health Complex, Narsingdi",Dhaka,Narsingdi,Palash,31
113,"Raipura Upazila Health Complex, Narsingdi",Dhaka,Narsingdi,Roypura,31
114,"Shibpur Upazila Health Complex, Narsingdi",Dhaka,Narsingdi,Shibpur,31
115,"Baliakandi Upazila Health Complex, Rajbari",Dhaka,Rajbari,Baliakandi,31
116,"Kalukhali Upazila Health Complex, Rajbari",Dhaka,Rajbari,Kalukhali,31
117,"Bhedarganj Upazila Health Complex, Shariatpur",Dhaka,Shariatpur,Bhedarganj,31
118,"Damudya Upazila Health Complex, Shariatpur",Dhaka,Shariatpur,Damudya,31
119,"Goshairhat Upazila Health Complex, Shariatpur",Dhaka,Shariatpur,Gosairhat,31
Sl. No.,Organization Name,Division Name,District Name,Upazila Name,No. of Bed
120,"Naria Upazila Health Complex, Shariatpur",Dhaka,Shariatpur,Naria,31
121,"Zanjira Upazila Health Complex, Shariatpur",Dhaka,Shariatpur,Zanjira,31
122,"Bhuapur Upazila Health Complex, Tangail",Dhaka,Tangail,Bhuapur,31
123,"Delduar Upazila Health Complex, Tangail",Dhaka,Tangail,Delduar,31
124,"Gopalpur Upazila Health Complex, Tangail",Dhaka,Tangail,Gopalpur,31
125,"Mirzapur Upazila Health Complex, Tangail",Dhaka,Tangail,Mirzapur,31
126,"Nagarpur Upazila Health Complex, Tangail",Dhaka,Tangail,Nagarpur,31
127,"Morrelganj Upazila Health Complex, Bagerhat",Khulna,Bagerhat,Morrelganj,31
128,"Sarankhola Upazila Health Complex, Bagerhat",Khulna,Bagerhat,Sarankhola,31
129,"Alamdanga Upazila Health Complex, Chuadanga",Khulna,Chuadanga,Alamdanga,31
130,"Damurhuda Upazila Health Complex, Chuadanga",Khulna,Chuadanga,Damurhuda,31
131,"Jibannagar Upazila Health Complex, Chuadanga",Khulna,Chuadanga,Jibannagar,31
132,"Bagherpara Upazila Health Complex, Jashore",Khulna,Jashore,Bagherpara,31
133,"Jhikargacha Upazila Health Complex, Jashore",Khulna,Jashore,Jhikargachha,31
134,"Monirampur Upazila Health Complex, Jashore",Khulna,Jashore,Monirampur,31
135,"Sarsa Upazila Health Complex, Jashore",Khulna,Jashore,Sharsha,31
136,"Shailkupa Upazila Health Complex, Jhenaidah",Khulna,Jhenaidah,Shailkupa,31
137,"Batiaghata Upazila Health Complex, Khulna",Khulna,Khulna,Batiaghata,31
138,"Dighalia Upazila Health Complex, Khulna",Khulna,Khulna,Dighalia,31
139,"Dumuria Upazila Health Complex, Khulna",Khulna,Khulna,Dumuria,31
140,"Koyra Upazila Health Complex, Khulna",Khulna,Khulna,Koyra,31
141,"Paikgacha Upazila Health Complex, Khulna",Khulna,Khulna,Paikgachha,31
142,"Rupsha Upazila Health Complex, Khulna",Khulna,Khulna,Rupsa,31
143,"Terokhada Upazila Health Complex, Khulna",Khulna,Khulna,Terokhada,31
144,"Khoksha Upazila Health Complex, Kushtia",Khulna,Kushtia,Khoksa,31
145,"Kumarkhali Upazila Health Complex, Kushtia",Khulna,Kushtia,Kumarkhali,31
146,"Mohammadpur Upazila Health Complex, Magura",Khulna,Magura,Mohammadpur,31
147,"Shalikha Upazila Health Complex, Magura",Khulna,Magura,Shalikha,31
148,"Sreepur Upazila Health Complex, Magura",Khulna,Magura,Sreepur,31
149,"Mujibnagar Upazila Health Complex, Meherpur",Khulna,Meherpur,Mujibnagar,31
150,"Lohagara Upazila Health Complex, Narail",Khulna,Narail,Lohagara,31
151,"Assasuni Upazila Health Complex, Satkhira",Khulna,Satkhira,Assasuni,31
152,"Debhata Upazila Health Complex, Satkhira",Khulna,Satkhira,Debhata,31
153,"Kaliganj Upazila Health Complex, Satkhira",Khulna,Satkhira,Kaliganj,31
154,"Bakshiganj Upazila Health Complex, Jamalpur",Mymensingh,Jamalpur,Bakshiganj,31
155,"Dewanganj Upazila Health Complex, Jamalpur",Mymensingh,Jamalpur,Dewanganj,31
156,"Madarganj Upazila Health Complex, Jamalpur",Mymensingh,Jamalpur,Madarganj,31
157,"Bhaluka Upazila Health Complex, Mymensingh",Mymensingh,Mymensingh,Bhaluka,31
158,"Dhubaura Upazila Health Complex, Mymensingh",Mymensingh,Mymensingh,Dhobaura,31
159,"Fulbaria Upazila Health Complex, Mymensingh",Mymensingh,Mymensingh,Fulbaria,31
160,"Gouripur Upazila Health Complex, Mymensingh",Mymensingh,Mymensingh,Gauripur,31
161,"Haluaghat Upazila Health Complex, Mymensingh",Mymensingh,Mymensingh,Haluaghat,31
162,"Muktagacha Upazila Health Complex, Mymensingh",Mymensingh,Mymensingh,Muktagachha,31
163,"Atpara Upazila Health Complex, Netrakona",Mymensingh,Netrakona,Atpara,31
164,"Barhatta Upazila Health Complex, Netrakona",Mymensingh,Netrakona,Barhatta,31
165,"Durgapur Upazila Health Complex, Netrakona",Mymensingh,Netrakona,Durgapur,31
166,"Khaliajuri Upazila Health Complex, Netrakona",Mymensingh,Netrakona,Khaliajuri,31
167,"Jhenaigati Upazila Health Complex, Sherpur",Mymensingh,Sherpur,Jhenaigati,31
168,"Nakhla Upazila Health Complex, Sherpur",Mymensingh,Sherpur,Nakla,31
169,"Nalitabari Upazila Health Complex, Sherpur",Mymensingh,Sherpur,Nalitabari,31
170,"Sribordi Upazila health Complex, Sherpur",Mymensingh,Sherpur,Sreebardi,31
171,"Dhupchachia Upazila Health Complex, Bogura",Rajshahi,Bogura,Dhupchanchia,31
172,"Nandigram Upazila Health Complex, Bogura",Rajshahi,Bogura,Nandigram,31
173,"Shajahanpur Upazila Health Complex, Bogura",Rajshahi,Bogura,Shajahanpur,31
174,"Sherpur Upazila Health Complex, Bogura",Rajshahi,Bogura,Sherpur,31
175,"Bholahat Upazila Health Complex, Chapai Nawabganj",Rajshahi,hapai Nawabga,jBholahat,31
176,"Gomastapur Upazila Health Complex, Chapai Nawabganj",Rajshahi,hapai Nawabga,jGomastapur,31
177,"Nachol Upazila Health Complex, Chapai Nawabganj",Rajshahi,hapai Nawabga,jNachole,31
178,"Khetlal Upazila Health Complex, Joypurhat",Rajshahi,Joypurhat,Khetlal,31
179,"Panchbibi Upazila Health Complex, Joypurhat",Rajshahi,Joypurhat,Panchbibi,31
180,"Atrai Upazila Health Complex, Naogaon",Rajshahi,Naogaon,Atrai,31
Sl. No.,Organization Name,Division Name,District Name,Upazila Name,No. of Bed
181,"Niamatpur Upazila Health Complex, Naogaon",Rajshahi,Naogaon,Niamatpur,31
182,"Porsha Upazila Health Complex, Naogaon",Rajshahi,Naogaon,Porsha,31
183,"Raninagar Upazila Health Complex, Naogaon",Rajshahi,Naogaon,Raninagar,31
184,"Bagatipara Upazila Health Complex, Natore",Rajshahi,Natore,Bagatipara,31
185,"Baraigram Upazila Health Complex, Natore",Rajshahi,Natore,Baraigram,31
186,"Gurudashpur Upazila Health Complex, Natore",Rajshahi,Natore,Gurudaspur,31
187,"Singra Upazila Health Complex, Natore",Rajshahi,Natore,Singra,31
188,"Atgharia Upazila Health Complex, Pabna",Rajshahi,Pabna,Atgharia,31
189,"Bera Upazila Health Complex, Pabna",Rajshahi,Pabna,Bera,31
190,"Bhangura Upazila Health Complex, Pabna",Rajshahi,Pabna,Bhangura,31
191,"Iswardi Upazila Health Complex, Pabna",Rajshahi,Pabna,Ishwardi,31
192,"Santhia Upazila Health Complex, Pabna",Rajshahi,Pabna,Santhia,31
193,"Bagha Upazila Health Complex, Rajshahi",Rajshahi,Rajshahi,Bagha,31
194,"Bagmara Upazila Health Complex, Rajshahi",Rajshahi,Rajshahi,Baghmara,31
195,"Godagari Upazila Health Complex, Rajshahi",Rajshahi,Rajshahi,Godagari,31
196,"Mohanpur Upazila Health Complex, Rajshahi",Rajshahi,Rajshahi,Mohanpur,31
197,"Paba Upazila Health Complex, Rajshahi",Rajshahi,Rajshahi,Paba,31
198,"Belkuchi Upazila Health Complex, Sirajganj",Rajshahi,Sirajganj,Belkuchi,31
199,"Chowhali Upazila Health Complex, Sirajganj",Rajshahi,Sirajganj,Chauhali,31
200,"Kamarkhanda Upazila Health Complex, Sirajganj",Rajshahi,Sirajganj,Kamarkhanda,31
201,"Kazipur Upazila Health Complex, Sirajganj",Rajshahi,Sirajganj,Kazipur,31
202,"Raiganj Upazila Health Complex, Sirajganj",Rajshahi,Sirajganj,Royganj,31
203,"Shahzadpur Upazila Health Complex, Sirajganj",Rajshahi,Sirajganj,Shahjadpur,31
204,"Tarash Upazila Health Complex, Sirajganj",Rajshahi,Sirajganj,Tarash,31
205,"Ullapara Upazila Health Complex, Sirajganj",Rajshahi,Sirajganj,Ullahpara,31
206,"Birol Upazila Health Complex, Dinajpur",Rangpur,Dinajpur,Biral,31
207,"Birampur Upazila Health Complex, Dinajpur",Rangpur,Dinajpur,Birampur,31
208,"Birganj Upazila Health Complex, Dinajpur",Rangpur,Dinajpur,Birganj,31
209,"Chirirbandar Upazila Health Complex, Dinajpur",Rangpur,Dinajpur,Chirirbandar,31
210,"Fulbari Upazila Health Complex, Dinajpur",Rangpur,Dinajpur,Fulbari,31
211,"Ghoraghat Upazila Health Complex, Dinajpur",Rangpur,Dinajpur,Ghoraghat,31
212,"Hakimpur Upazila Health Complex, Dinajpur",Rangpur,Dinajpur,Hakimpur,31
213,"Kaharol Upazila Health Complex, Dinajpur",Rangpur,Dinajpur,Kaharole,31
214,"Khansama Upazila Health Complex, Dinajpur",Rangpur,Dinajpur,Khansama,31
215,"Nawabganj Upazila Health Complex, Dinajpur",Rangpur,Dinajpur,Nawabganj,31
216,"Fulchari Upazila Health Complex, Gaibandha",Rangpur,Gaibandha,Fulchhari,31
217,"Palashbari Upazila Health Complex, Gaibandha",Rangpur,Gaibandha,Palashbari,31
218,"Sadullapur Upazila Health Complex, Gaibandha",Rangpur,Gaibandha,Sadullapur,31
219,"Shaghatta Upazila Health Complex, Gaibandha",Rangpur,Gaibandha,Saghata,31
220,"Sundarganj Upazila Health Complex, Gaibandha",Rangpur,Gaibandha,Sundarganj,31
221,"Bhurungamari Upazila Health Complex, Kurigram",Rangpur,Kurigram,Bhurungamari,31
222,"Nageswari Upazila Health Complex, Kurigram",Rangpur,Kurigram,Nageshwari,31
223,"Fulbari Upazila Health Complex, Kurigram",Rangpur,Kurigram,Phulbari,31
224,"Rajarhat Upazila Health Complex, Kurigram",Rangpur,Kurigram,Rajarhat,31
225,"Rajibpur Upazila Health Complex, Kurigram",Rangpur,Kurigram,Rajibpur,31
226,"Rowmari Upazila Health Complex, Kurigram",Rangpur,Kurigram,Raumari,31
227,"Aditmari Upazila Health Complex, Lalmonirhat",Rangpur,Lalmonirhat,Aditmari,31
228,"Hatibandha Upazila Health Complex, Lalmonirhat",Rangpur,Lalmonirhat,Hatibandha,31
229,"Patgram Upazila Health Complex, Lalmonirhat",Rangpur,Lalmonirhat,Patgram,31
230,"Jaldhaka Upazila Health Complex, Nilphamari",Rangpur,Nilphamari,Jaldhaka,31
231,"Kishoreganj Upazila Health Complex, Nilphamari",Rangpur,Nilphamari,Kishoreganj,31
232,"Saidpur Upazila Health Complex, Nilphamari",Rangpur,Nilphamari,Saidpur,31
233,"Atwari Upazila Health Complex, Panchagarh",Rangpur,Panchagarh,Atwari,31
234,"Badarganj Upazila Health Complex, Rangpur",Rangpur,Rangpur,Badarganj,31
235,"Kownia Upazila Health Complex, Rangpur",Rangpur,Rangpur,Kaunia,31
236,"Pirgacha Upazila Health Complex, Rangpur",Rangpur,Rangpur,Pirgachha,31
237,"Taraganj Upazila Health Complex, Rangpur",Rangpur,Rangpur,Taraganj,31
238,"Pirganj Upazila Health Complex, Thakurgaon",Rangpur,Thakurgaon,Pirganj,31
239,"Ajmiriganj Upazila Health Complex, Habiganj",Sylhet,Habiganj,Ajmiriganj,31
240,"Bahubal Upazila Health Complex, Habiganj",Sylhet,Habiganj,Bahubal,31
241,"Baniachong Upazila Health Complex, Habiganj",Sylhet,Habiganj,Baniachong,31
Sl. No.,Organization Name,Division Name,District Name,Upazila Name,No. of Bed
242,"Chunarughat Upazila Health Complex, Hobigonj., Habiganj",Sylhet,Habiganj,Chunarughat,31
243,"Lakhai Upazila Health Complex, Habiganj",Sylhet,Habiganj,Lakhai,31
244,"Nabiganj Upazila Health Complex, Habiganj",Sylhet,Habiganj,Nabiganj,31
245,"Barlekha Upazila Health Complex, Maulvibazar",Sylhet,Maulvibazar,Barlekha,31
246,"Juri Upazila Health Complex, Maulvibazar",Sylhet,Maulvibazar,Juri,31
247,"Kamalganj Upazila Health Complex, Maulvibazar",Sylhet,Maulvibazar,Kamalganj,31
248,"Rajnagar Upazila Health Complex, Maulvibazar",Sylhet,Maulvibazar,Rajnagar,31
249,"Sreemangal Upazila Health Complex, Maulvibazar",Sylhet,Maulvibazar,Sreemangal,31
250,"Biswambarpur Upazila Health Complex, Sunamganj",Sylhet,Sunamganj,Bishwambarpur,31
251,"Chhatak Upazila Health Complex, Sunamganj",Sylhet,Sunamganj,Chhatak,31
252,"Dakshin Sunamganj Upazila Health Complex, Sunamganj",Sylhet,Sunamganj,Dakshin Sunamganj,31
253,"Derai Upazila Health Complex, Sunamganj",Sylhet,Sunamganj,Derai,31
254,"Dharmapasha Upazila Health Complex, Sunamganj",Sylhet,Sunamganj,Dharampasha,31
255,"Doarabazar Upazila Health Complex, Sunamganj",Sylhet,Sunamganj,Dowarabazar,31
256,"Jamalganj Upazila Health Complex, Sunamganj",Sylhet,Sunamganj,Jamalganj,31
257,"Sulla Upazila Health Complex, Sunamganj",Sylhet,Sunamganj,Sulla,31
258,"Taherpur Upazila Health Complex, Sunamganj",Sylhet,Sunamganj,Tahirpur,31
259,"Balaganj Upazila Health Complex, Sylhet",Sylhet,Sylhet,Balaganj,31
260,"Bishwanath Upazila Health Complex, Sylhet",Sylhet,Sylhet,Bishwanath,31
261,"Companyganj Upazila Health Complex, Sylhet",Sylhet,Sylhet,Companiganj,31
262,"Dakhin Surma Upazila Health Complex, Sylhet",Sylhet,Sylhet,Dakshin Surma,31
263,"Fenchuganj Upazila Health Complex, Sylhet",Sylhet,Sylhet,Fenchuganj,31
264,"Jaintapur Upazila Health Complex, Sylhet",Sylhet,Sylhet,Jaintiapur,31
265,"Kanaighat Upazila Health Complex, Sylhet",Sylhet,Sylhet,Kanaighat,31
266,"Zokiganj Upazila Health Complex, Sylhet",Sylhet,Sylhet,Zakiganj,31
